Reference area,TIME_PERIOD,fb_index,n_obs,tonnes_CO2,hectares,tonnes_oil,sq_km,cubic_m
Czechia,2005,99.6058697939228,2,21000.89438923613,37887.138571428564,14247.494999999999,20365.876923076925,212.64000000000001
Czechia,2006,99.46856241104025,2,21228.90232123565,38026.270000000004,14355.18,20365.472307692307,248.2196956521739
Czechia,2007,99.21767023536916,2,21486.32470237221,44072.05428571429,13918.720000000001,20388.144616153848,250.0861304347826
Czechia,2008,98.79788353239704,2,20554.502653605137,48352.73714285714,14024.245,20433.893846153846,255.75626086956524
Czechia,2009,98.2121676258844,2,19305.928557345273,56158.83,13428.529999999999,20478.104615384615,255.1695652173913
Czechia,2010,97.4022474575572,2,19398.989434884654,64274.68571428571,13690.98,20516.16153923077,255.5304347826087
Czechia,2011,96.5370175547165,2,18905.036111065983,67879.62571428572,13203.765,20545.06923153846,247.9608695652174
Czechia,2012,95.38930833178614,2,18355.365786851136,68761.45571428571,13250.42,20541.669230769232,239.64347826086959
Czechia,2013,94.24159910885585,2,17759.01186621229,69482.70142857142,13122.055,20542.115384615383,208.6695652173913
Czechia,2014,93.03858015141205,2,17363.59192449063,69140.26142857144,12899.414999999999,20544.869230000004,209.27391304347827
Czechia,2015,91.6083916083916,2,17406.418602405134,69792.94714285714,13003.545,20549.930769230767,200.06521739130434
Czechia,2016,90.11992800709615,2,17826.69978121229,71168.9,12971.965,19115.687142142855,208.49565217391302
Czechia,2017,88.57615467128744,2,18099.176344553376,72265.93000000001,13898.805,19130.010000000002,205.6695652173913
Czechia,2018,86.8634868081771,2,18175.717180308457,75641.14142857143,13757.985,19146.475714285712,197.11739130434782
Czechia,2019,85.09550921055344,2,18006.44787237248,77823.28,13776.974999999999,19163.73,185.06956521739133
Czechia,2020,83.32753161292985,2,16913.554515181608,78565.15428571428,13252.765,19174.44414285714,164.03478260869565
Czechia,2021,81.39065948800464,2,17377.470766658833,79767.81285714285,14206.435,19195.833929285716,161.49565217391304
